"region","Total_Payments"
"alabama",134136733.29
"arizona",159151555.7
"arkansas",73384481.9
"california",733463660.49
"colorado",151759477.97
"connecticut",135739672.68
"delaware",36214318.7
"district of columbia",29663156.79
"florida",598240871.73
"georgia",226717789.54
"idaho",41092729.16
"illinois",464560797.19
"indiana",212516688.48
"iowa",124207497.69
"kansas",103420278.37
"kentucky",116587021.52
"louisiana",116441627.47
"maine",34264646.78
"maryland",204099463.33
"massachusetts",363747353.33
"michigan",362895058.87
"minnesota",287182311.04
"mississippi",58672223.1
"missouri",212293767.51
"montana",30655425.22
"nebraska",74099776.12
"nevada",51841708.49
"new hampshire",71151964
"new jersey",312146784.27
"new mexico",36978002.55
"new york",535939104.61
"north carolina",353237741.63
"north dakota",35880861.17
"ohio",407541429.12
"oklahoma",86040083.61
"oregon",140167922.75
"pennsylvania",522083228.28
"rhode island",29496747.1
"south carolina",135160452.95
"south dakota",43907068.83
"tennessee",181829143.73
"texas",577355620.38
"utah",86142968.89
"vermont",22060967.3
"virginia",284547870.76
"washington",214254698.64
"west virginia",52559915.37
"wisconsin",286562075.04
"wyoming",13481353.34
