Team,GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB,FT,F3T,HLD,FD,DRG,ELD,FBN,BN,LNE,JNG,WPM,CWPM,WCPM
DRX,9,4,5,33.1,103,89,1.16,0.64,1.07,0.06,67.7,-23.2,1876,0.56,0.67,0.44,0.56,0.22,0.47,0,0.33,0.25,0.51,0.53,3.9,1.33,1.6
DWG KIA,17,14,3,31.2,283,166,1.7,0.84,1.25,0.1,72.4,10,1940,0.47,0.82,0.88,0.79,0.82,0.75,0.5,0.71,0.76,0.5,0.54,3.39,1.34,1.76
FlyQuest,6,3,3,31.9,72,80,0.9,0.79,0.1,-0.04,43.3,6.7,-662,0.5,0.5,0.5,0.42,0.67,0.52,,0.5,0.63,0.49,0.49,3.11,1.19,1.49
Fnatic,11,6,5,29.6,131,110,1.19,0.74,0.11,0.02,47,7.5,-701,0.82,0.64,0.64,0.33,0.55,0.56,1,0.36,0.55,0.5,0.51,3.09,1.16,1.48
G2 Esports,14,8,6,31.9,228,209,1.09,0.97,0.08,0.02,46.5,10.6,-94,0.57,0.5,0.29,0.44,0.29,0.45,1,0.43,0.4,0.5,0.54,3.82,1.35,1.61
Gen.G,9,5,4,32.1,118,146,0.81,0.91,0.31,0,57.1,-1.5,897,0.44,0.56,0.56,0.72,0.56,0.53,,0.67,0.73,0.51,0.46,3.84,1.44,1.65
JD Gaming,10,5,5,29.9,137,149,0.92,0.95,0.1,0,53.1,-3.1,556,0.4,0.4,0.5,0.58,0.5,0.39,0,0.4,0.55,0.51,0.51,3.41,1.18,1.84
LGD Gaming,6,3,3,36.2,84,85,0.99,0.78,-0.41,-0.02,41.8,8.2,-817,0.33,0.33,0.5,0.33,0.67,0.48,,0.17,0.33,0.49,0.5,3.65,1.11,1.83
Machi Esports,6,1,5,32.8,54,103,0.52,0.79,-2.2,-0.11,29.2,-12.5,-2599,0.17,0.33,0.33,0.42,0.67,0.48,,0.17,0.38,0.49,0.4,3.57,1.42,1.93
PSG Talon,6,2,4,27.8,38,67,0.57,0.63,-1.32,-0.1,36.8,-3.5,-1654,0.33,0.17,0.33,0.27,0.5,0.5,,0.33,0.4,0.5,0.43,3.15,1.28,1.58
Rogue,6,1,5,29.8,53,87,0.61,0.78,-1.05,-0.1,32.4,-15.7,-1238,0.67,0.5,0.17,0.25,0,0.19,,0.17,0.17,0.48,0.46,3.71,1.14,1.27
Suning,19,12,7,34.1,285,243,1.17,0.82,0.66,0.04,50.4,12.8,45,0.63,0.47,0.68,0.46,0.53,0.55,0.67,0.53,0.59,0.5,0.54,4.21,1.35,1.87
Team Liquid,6,3,3,32.4,78,64,1.22,0.73,0.07,-0.05,48.7,1.3,55,0.67,0.5,0.5,0.42,0.33,0.46,0,0.5,0.6,0.49,0.48,3.5,1.2,1.78
Top Esports,15,9,6,32.8,202,161,1.25,0.74,0.35,0.03,58.1,1.9,955,0.33,0.4,0.47,0.57,0.53,0.53,0,0.6,0.57,0.5,0.52,3.45,1.27,1.8
TSM,6,0,6,33.5,48,85,0.56,0.66,-1.22,-0.1,38.7,-38.7,-909,0.33,0.17,0.17,0.45,0.33,0.36,,0,0.13,0.49,0.46,3.51,1.42,1.53
Unicorns Of Love.CIS,6,0,6,32.1,56,138,0.41,1,-3.29,-0.16,15.7,-15.7,-3784,0.5,0.5,0.17,0.42,0.5,0.27,,0.17,0.22,0.49,0.38,3.09,1.06,1.37
