population,state
55982803.00 ,Alabama
68329004.00 ,Alaska
125580448.00 ,Arizona
78347268.00 ,Arkansas
4903185.00 ,California
731545.00 ,Colorado
7278717.00 ,Connecticut
3017804.00 ,Delaware
39512223.00 ,District of Columbia
5758736.00 ,Florida
3565287.00 ,Georgia
973764.00 ,Hawaii
705749.00 ,Idaho
21477737.00 ,Illinois
10617423.00 ,Indiana
1415872.00 ,Iowa
1787065.00 ,Kansas
12671821.00 ,Kentucky
6732219.00 ,Louisiana
3155070.00 ,Maine
2913314.00 ,Maryland
4467673.00 ,Massachusetts
4648794.00 ,Michigan
1344212.00 ,Minnesota
6045680.00 ,Mississippi
6892503.00 ,Missouri
9986857.00 ,Montana
5639632.00 ,Nebraska
2976149.00 ,Nevada
6137428.00 ,New Hampshire
1068778.00 ,New Jersey
1934408.00 ,New Mexico
3080156.00 ,New York
1359711.00 ,North Carolina
8882190.00 ,North Dakota
2096829.00 ,Ohio
19453561.00 ,Oklahoma
10488084.00 ,Oregon
762062.00 ,Pennsylvania
11689100.00 ,Rhode Island
3956971.00 ,South Carolina
4217737.00 ,South Dakota
12801989.00 ,Tennessee
1059361.00 ,Texas
5148714.00 ,Utah
884659.00 ,Vermont
6829174.00 ,Virginia
28995881.00 ,Washington
3205958.00 ,West Virginia
623989.00 ,Wisconsin
8535519.00 ,Wyoming
7614893.00 ,#VALUE!
1792147.00 ,#VALUE!
5822434.00 ,#VALUE!
578759.00 ,#VALUE!
