Film,Sexual encounters
Dr. No  (1962),Honey Ryder (Ursula Andress) 
From Russia with Love  (1963),Tatiana Romanova (Daniela Bianchi) 
Goldfinger (1964),Pussy Galore (Honor Blackman) 
Thunderball (1965),Domino Derval (Claudine Auger) 
You Only Live Twice (1967),Kissy Suzuki (Mie Hama) 
On Her Majesty's Secret Service (1969),Teresa di Vicenzo (Diana Rigg) 
Diamonds Are Forever (1971),Tiffany Case (Jill St. John) 
Live and Let Die (1973),Solitaire (Jane Seymour) 
The Man with the Golden Gun (1974),Mary Goodnight (Britt Ekland) 
The Spy Who Loved Me (1977),Anya Amasova (Barbara Bach) 
Moonraker (1979),Holly Goodhead (Lois Chiles) 
For Your Eyes Only (1981),Melina Havelock (Carole Bouquet) 
Octopussy (1983),Octopussy (Maud Adams) 
A View to a Kill (1985),Stacey Sutton (Tanya Roberts) 
The Living Daylights (1987),Kara Milovy (Maryam d'Abo) 
Licence to Kill (1989),Pam Bouvier (Carey Lowell) 
GoldenEye (1995),Natalya Simonova (Izabella Scorupco) 
Tomorrow Never Dies (1997),Wai Lin (Michelle Yeoh) 
The World Is Not Enough (1999),Dr. Christmas Jones (Denise Richards) 
Die Another Day (2002),"Giacinta ""Jinx"" Johnson (Halle Berry) "
Casino Royale (2006),Vesper Lynd (Eva Green) 
Quantum of Solace (2008),Camille Montes (Olga Kurylenko) 
Skyfall (2012),Eve Moneypenny (Naomie Harris) 
Spectre (2015),Dr. Madeleine Swann (Léa Seydoux) 
